Month	Site	Replicate	Richness_morpho	Richness_molecular
April	A	2	3.671541261	47.64377076
April	A	3	4.718733586	40.56992359
April	B	2	4.716421508	54.82459116
April	B	3	3.708793324	48.5290198
April	C	1	3.68534202	67.51277974
April	C	3	6.676484547	62.09001926
April	D	2	3.582967609	75.23080266
April	D	3	5.705985896	76.09086426
April	E	1	6.740269698	68.64584615
April	E	3	2.696586924	75.19268754
April	F	3	5.711460992	64.36243185
April	G	1	5.63932624	54.10948609
April	G	2	1.378665065	63.00668392
July	A	1	5.779376051	34.23569411
July	A	2	3.762170487	2.403386138
July	A	3	1.751574502	31.96087031
July	B	1	6.773696295	69.78654141
July	B	2	3.711460992	61.41406987
July	B	3	3.676484547	57.02605758
July	C	1	3.597570396	45.58072637
July	C	2	7.743050829	80.16819761
July	C	3	2.486101658	62.48690996
July	D	1	2.27865248	87.59617841
July	D	2	3.486101658	66.83820677
July	D	3	2.089760773	76.26661826
July	E	1	5.776652943	64.67516534
July	E	2	2.519101653	68.12340513
July	F	1	8.711460992	57.437571
July	F	2	3.378665065	68.10560234
July	G	1	9.73574263	48.67379886
October	A	1	3.582967609	33.65966008
October	A	2	0.565705518	48.12844974
October	B	1	2.681071011	42.20936309
October	B	3	2.714000332	69.71083331
October	C	1	3.519101653	57.32616414
October	C	2	1.486101658	39.36356722
October	D	1	4.610128755	53.08996915
October	D	2	1.597570396	67.87317652
October	E	1	2.519101653	55.17125767
October	E	2	0.544880387	61.58399901
October	F	1	2.597570396	54.44875228
October	F	2	4.378665065	60.14165816
October	G	1	2.582967609	50.87131611
October	G	2	3.544880387	49.42289999
