Margalef	Month	Sample
0.985376216	April	1
1.134313968	April	2
0.480898347	April	3
1.187896817	April	4
0.606826151	April	5
0	April	6
0	April	7
1.442695041	July	1
1.13463094	July	2
2.058098727	July	3
1.442695041	July	4
1.216286407	July	5
2.308312065	July	6
1.884977556	July	7
0.961796694	October	1
0.345976256	October	2
1.116221253	October	3
1.251097174	October	4
0.961796694	October	5
