Site	Month	Salinity
A	April	3.597
B	April	1.3533
C	April	1.553
D	April	1.8123
E	April	1.6187
F	April	1.8283
G	April	1.065
A	July	1.166
B	July	0.643
C	July	0.3894
D	July	0.266
E	July	0.2725
F	July	0.1717
G	July	0.0684
A	October	0.281
B	October	0.151
C	October	0.092
D	October	0.065
E	October	0.066
F	October	0.045
G	October	0.025
