Rep	Margalef
V2	43.08051392
V3	62.93133689
V4	57.69211833
V5	98.84877499
V6	86.68671755
V7	71.67908072
V8	111.1490213
V9	107.2611425
V1	101.4124677
V11	104.5203288
V12	112.5263698
V13	108.0748087
V14	106.611191
V15	101.3071559
V16	113.5403681
V17	103.5429865
V18	93.2229675
V19	109.2701011
V2	85.95730182
V21	99.72780331
V22	99.75401138
