1A	1B	1C	2A	2B	2C	3A	3B	3C	4A	4B	4C	5A	5B	5C	6A	6B	6C	7A	7B	7C	Family
0	0	7	0	0	5	0	1	3	0	0	0	2	4	15	52	13	0	0	13	0	Agaricomycetes_unclassified
0	0	0	0	0	0	0	0	2	1	0	0	0	2	18	0	0	0	7	53	31	Adinetidae
0	0	0	0	7	0	46	32	3	0	0	0	0	0	0	0	3	0	0	9	1	Corynidae
0	1	0	52	11	1	3	8	9	0	1	0	0	0	1	5	0	3	0	0	0	Hygrophila_unclassified
0	2	1	10	12	1	4	0	5	3	7	1	2	5	0	2	5	5	13	7	8	Gastropoda_unclassified
3	7	0	2	0	0	6	2	6	3	2	1	7	11	4	2	12	3	0	7	9	Ixodidae
0	0	0	3	0	13	0	0	0	0	0	0	0	0	0	0	59	10	0	0	0	Podocopida_incertae_sedis
0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	73	Chironomidae
0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	Cnidaria_unclassified
0	2	0	0	2	0	0	0	0	0	2	3	0	5	54	0	0	0	0	0	2	Planorbidae
0	0	1	0	6	0	0	0	0	0	0	5	0	0	18	31	0	0	7	0	0	Agaricales_unclassified
0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	63	0	Selenopidae
0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	1	0	0	2	41	0	Entomobryomorpha_unclassified
3	3	2	1	0	5	1	0	0	7	0	0	2	2	5	2	0	0	6	8	8	Nymphalidae
0	0	0	0	0	0	0	1	5	6	1	0	4	1	0	3	12	5	6	0	6	Bothrideridae
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	9	0	Prodoxidae
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	10	0	32	0	0	Lymnaeidae
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	34	0	Adinetidae
0	0	0	16	0	2	0	0	0	5	0	0	4	1	0	0	0	1	9	0	2	Enchytraeida_unclassified
0	5	9	9	3	8	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	Hydridae
0	0	0	1	10	0	1	0	0	0	2	0	0	0	0	0	7	0	0	15	0	Laelapidae
0	0	12	0	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Secernentea_unclassified
